Cald's Custom Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
PLAYER,DUKE,DL,Tahj Rice,Fr,72,285,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Christian Harris,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,CB,Antone Williams,Fr,69,200,55,55,55,55,55,55,55
PLAYER,DUKE,RB,Nicodem Pierre,Fr,68,220,55,55,55,55,55,55,55
PLAYER,DUKE,WR,Chris Taylor,Fr,74,205,55,55,55,55,55,55,55
PLAYER,DUKE,RB,Elijah Deveaux,Fr,68,220,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Zach Baker,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,DL,Ben Frye,Fr,72,285,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Jack Wohlabaugh,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Robert Kraeling,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,WR,Jake Bobo,Fr,74,205,55,55,55,55,55,55,55
PLAYER,DUKE,WR,Damond Philyaw,Fr,74,205,55,55,55,55,55,55,55
PLAYER,DUKE,CB,Josh Blackwell,Fr,69,200,55,55,55,55,55,55,55
PLAYER,DUKE,CB,Michael Carter,Fr,69,200,55,55,55,55,55,55,55
PLAYER,DUKE,RB,Marvin Hubbard,Fr,68,220,55,55,55,55,55,55,55
PLAYER,DUKE,DL,Chris Rumph,Fr,72,285,55,55,55,55,55,55,55
PLAYER,DUKE,TE,Mark Birmingham,Fr,72,240,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Zach Harmon,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,CB,Mark Gilbert,Fr,69,200,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Casey Holman,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,OL,Rakavius Chambers,Fr,73,295,55,55,55,55,55,55,55
PLAYER,DUKE,DL,Alex Nyembwe,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,OL,Branden Pena,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,DL,Alex Turner,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,S,Davondre Robinson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,CB,Colby Gore,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ECU,S,Da'Andre Beverly,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,LB,Cannon Gibbs,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,OL,D'Ante Smith,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,OL,John Spellacy,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,QB,Caiden Norman,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ECU,OL,Noah Henderson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,DL,Brandon Henderson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,LB,Jireh Wilson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,TE,Andre Pegues,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ECU,DL,Shaun James,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,S,Tim Irvin,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,S,Marcus Holton,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,RB,Darius Pinnix,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ECU,WR,Deondre Farrier,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,DL,Jalen Price,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,S,Devon Sutton,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,RB,Hussein Howe,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ECU,K,Jonn Young,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ECU,CB,Warren Saba,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ECU,DL,Raequan Purvis,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,TE,Anthony Watley,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ECU,OL,Garrett McGhin,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,DL,Dorian Hardy,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,OL,Travish Hicks,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,WR,Duce Fuller,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,LB,Bruce Bivens,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,LB,Xavier Smith,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,OL,Matt Morgan,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,OL,Jack Doyle,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,OL,Cortez Herrin,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,DL,Damir Faison,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,S,Nolan Johnson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,OL,Donovan Noel,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,RB,Anthony Scott,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ECU,QB,Holton Ahlers,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ECU,QB,Reid Herring,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ECU,WR,Mydreon Vines,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,DL,Kendall Futrell,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,QB,Kingsley Ifedi,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ECU,DL,Chandon Hickerson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,WR,Tahj Deans,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,OL,Sean Bailey,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,DL,Trey Love,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,S,Rowe Mellot,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ECU,TE,Ben Norris,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ECU,RB,Trace Christian,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ECU,WR,Jonathan Jeffries,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,OL,Dqmarcus Shaw,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ECU,K,Jake Verity,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ECU,WR,Trevon Brown,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,LB,Delvontae Harris,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,CB,Corey Seargent,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ECU,LB,Aaron Ramseur,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,RB,Tay Williams,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ECU,CB,Keyshawn Canady,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ECU,DL,Chance Purvis,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,LB,Gerard Stringer,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,LB,Ray Tillman,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ECU,TE,Johnny Bogle,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ECU,WR,Juwan Moody,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,WR,Blake Proehl,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,WR,Leroy Henley,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,DL,Chandler Medeiros,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ECU,WR,Jonathan Johnson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ECU,CB,Michael Witherspoon,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,OL,Christopher Bleich,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,OL,Martez Ivey,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,WR,Josh Hammond,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,CB,Marco Wilson,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,LB,Ventrell Miller,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,CB,Trey Dean,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,OL,Richard Gouraige,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,WR,Jacob Copeland,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,S,Donovan Stiner,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,TE,Lucas Krull,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UF,OL,Tyler Jordan,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,QB,Feleipe Franks,Fr,74,215,55,55,55,55,55,55,55
PLAYER,UF,WR,Tyrie Cleveland,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,DL,Jabari Zuniga,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,OL,Noah Banks,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,OL,Nick Buchanan,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,S,John Huggins,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,S,Amari Burney,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,RB,Lamical Perine,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,QB,Emory Jones,Fr,74,215,55,55,55,55,55,55,55
PLAYER,UF,TE,C'yontai Lewis,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UF,RB,Dameon Pierce,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,RB,Jordan Scarlett,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,RB,R.J. Raymond,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,DL,Khairi Clark,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,OL,Jawaan Taylor,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,TE,Moral Stephens,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UF,LB,Andrew Chatfield,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,CB,Chauncey GardnerJohnsn,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,OL,Brett Heggie,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,RB,Iverson Clement,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,DL,Marlon Dunlap,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,QB,Kyle Trask,Fr,74,215,55,55,55,55,55,55,55
PLAYER,UF,LB,David Reese,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,DL,Jachai Polite,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,TE,Kyle Pitts,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UF,DL,Adam Shuler,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,S,Brad Stewart,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,DL,Elijah Conliffe,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,K,Evan McPherson,Fr,67,180,55,55,55,55,55,55,55
PLAYER,UF,CB,Brian Edwards,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,K,Tommy Townsend,Fr,67,180,55,55,55,55,55,55,55
PLAYER,UF,OL,Jean DeLance,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,WR,Daquon Green,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,WR,Freddie Swain,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,LB,Rayshad Jackson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,CB,Dre Massey,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,RB,Malik Davis,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UF,WR,Trevon Grimes,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,LB,Cece Jefferson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,LB,Luke Ancrum,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,WR,Kadarius Toney,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,OL,T.J. McCoy,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,CB,C.J. McWilliams,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,DL,Zachary Carter,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,WR,Van Jefferson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UF,S,Jeawon Taylor,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,DL,Kyree Campbell,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,LB,David Reese,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,DL,Malik Langham,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,OL,Fred Johnson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UF,S,Shawn Davis,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UF,CB,C.J. Henderson,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UF,LB,Jeremiah Moon,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,LB,Kylan Johnson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,DL,Tedarrell Slaton,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UF,LB,Vosean Joseph,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,LB,James Houston,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UF,OL,Stone Forsythe,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,QB,James Blackman,Fr,74,215,55,55,55,55,55,55,55
PLAYER,FSU,S,A.J. Westbrook,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,OL,Jauan Williams,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Brian Burns,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,CB,Levonta Taylor,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,OL,Baveon Johnson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,S,Zaquandre White,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,OL,Cole Minshew,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Dennis Briggs,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,DL,Robert Cooper,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,LB,Josh Brown,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,S,Jaiden Woodbey,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,WR,Warren Thompson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,S,Hamsah Nasirildeen,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,DL,Fredrick Jones,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,DL,Janarius Robinson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,TE,Naseir Upshur,Fr,72,240,55,55,55,55,55,55,55
PLAYER,FSU,RB,Cam Akers,Fr,68,220,55,55,55,55,55,55,55
PLAYER,FSU,OL,Derrick Kelly,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Josh Kaindoh,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,WR,Jordan Young,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,OL,Christian Meadows,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,OL,Arthur Williams,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,OL,Brady Scott,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,LB,DeCalon Brooks,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,WR,Nyqwan Murray,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,TE,Tre' McKitty,Fr,72,240,55,55,55,55,55,55,55
PLAYER,FSU,LB,Amari Gainer,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,LB,Dontavious Jackson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,QB,Deondre Francois,Fr,74,215,55,55,55,55,55,55,55
PLAYER,FSU,WR,Deonte Sheffield,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,WR,George Campbell,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,DL,Jamarcus Chatman,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,OL,Abdul Bello,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,OL,Alec Eberle,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Xavier Peters,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,K,Ricky Aguayo,Fr,67,180,55,55,55,55,55,55,55
PLAYER,FSU,CB,Asante Samuel,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,WR,Keith Gavin,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,K,Logan Tyler,Fr,67,180,55,55,55,55,55,55,55
PLAYER,FSU,WR,D.J. Matthews,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,RB,Khalan Laborn,Fr,68,220,55,55,55,55,55,55,55
PLAYER,FSU,S,Stanford Samuels,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,S,Cyrus Fagan,Fr,70,195,55,55,55,55,55,55,55
PLAYER,FSU,CB,Anthony Lytton,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,CB,Kyle Meyers,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,LB,Adonis Thomas,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,OL,Christian Armstrong,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Chaz Neal,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,WR,Tamorrion Terry,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,LB,Emmett Rice,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,WR,Tre'Shaun Harrison,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,DL,Ja'len Parks,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,CB,Carlos Becker,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,OL,Mike Arnold,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,LB,Leonard Warner,Fr,71,235,55,55,55,55,55,55,55
PLAYER,FSU,RB,Jacques Patrick,Fr,68,220,55,55,55,55,55,55,55
PLAYER,FSU,CB,Isaiah Bolden,Fr,69,200,55,55,55,55,55,55,55
PLAYER,FSU,DL,Demarcus Christmas,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,OL,Jalen Goss,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Malcolm Lamar,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,DL,Marvin Wilson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,TE,Johnathan Vickers,Fr,72,240,55,55,55,55,55,55,55
PLAYER,FSU,WR,Ontaria Wilson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,FSU,RB,Amir Rasul,Fr,68,220,55,55,55,55,55,55,55
PLAYER,FSU,OL,Landon Dickerson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,FSU,DL,Walvenski Aime,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,DL,Cory Durden,Fr,72,285,55,55,55,55,55,55,55
PLAYER,FSU,TE,Camren McDonald,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UGA,OL,Kendall Baker,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,OL,Trey Hill,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,LB,Keyon Richardson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,CB,Tyson Campbell,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,CB,Deandre Baker,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,RB,Zamir White,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UGA,DL,Michael Barnett,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,OL,Justin Shaffer,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,K,Rodrigo Blankenship,Fr,67,180,55,55,55,55,55,55,55
PLAYER,UGA,LB,Quay Walker,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,S,Christopher Smith,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,TE,Jackson Harris,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UGA,OL,Jamaree Salyer,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,OL,Lamont Gaillard,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,WR,Riley Ridley,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,RB,Elijah Holyfield,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UGA,LB,Natrez Patrick,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,WR,Jayson Stanley,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,DL,DaQuan HawkinsMuckle,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,DL,Malik Herring,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,TE,Charlie Woerner,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UGA,LB,Juwan Taylor,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,LB,Brenton Cox,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,LB,Robert Beal,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,LB,Monty Rice,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,DL,Devonte Wyatt,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,OL,Solomon Kindley,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,DL,Jay Hayes,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,LB,Nate McBride,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,QB,Jake Fromm,Fr,74,215,55,55,55,55,55,55,55
PLAYER,UGA,LB,Walter Grant,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,S,Richard LeCounte,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,DL,Jonathan Ledbetter,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,OL,Sean Fogarty,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,CB,William Poole,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,WR,Jeremiah Holloman,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,WR,Mecole Hardman,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,WR,Kearis Jackson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,WR,Demetris Robertson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,CB,Tyrique McGhee,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,CB,Mark Webb,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,DL,Julian Rochester,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,TE,Luke Ford,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UGA,OL,Cade Mays,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,WR,Tyler Simmons,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,DL,Tyler Clark,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,WR,Ahkil Crumpton,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,LB,Adam Anderson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,CB,Eric Stokes,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,RB,Brian Herrien,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UGA,S,Otis Reese,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,RB,James Cook,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UGA,LB,D'Andre Walker,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,S,Tray Bishop,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,LB,Tae Crowder,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,OL,Isaiah Wilson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,LB,Channing Tindall,Fr,71,235,55,55,55,55,55,55,55
PLAYER,UGA,OL,Andrew Thomas,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,OL,Ben Cleveland,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UGA,CB,Divaad Wilson,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UGA,WR,Terry Godwin,Fr,74,205,55,55,55,55,55,55,55
PLAYER,UGA,K,Jake Camarda,Fr,67,180,55,55,55,55,55,55,55
PLAYER,UGA,RB,D'Andre Swift,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UGA,S,DeAngelo Gibbs,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,S,Jarvis Wilson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,UGA,TE,Isaac Nauta,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UGA,DL,David Marshall,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UGA,S,J.R. Reed,Fr,70,195,55,55,55,55,55,55,55
PLAYER,GT,LB,Jaquan Henderson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,GT,DL,Kyle Cerge-Henders,Fr,72,285,55,55,55,55,55,55,55
PLAYER,GT,CB,Dameon Williams,Fr,69,200,55,55,55,55,55,55,55
PLAYER,GT,S,Juanyeh Thomas,Fr,70,195,55,55,55,55,55,55,55
PLAYER,GT,RB,Jerry Howard,Fr,68,220,55,55,55,55,55,55,55
PLAYER,GT,DL,Kelton Dawson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,GT,DL,Chris Martin,Fr,72,285,55,55,55,55,55,55,55
PLAYER,GT,WR,Brad Stewart,Fr,74,205,55,55,55,55,55,55,55
PLAYER,GT,WR,Jair Hawkins-Ander,Fr,74,205,55,55,55,55,55,55,55
PLAYER,GT,DL,T.K. Chimedza,Fr,72,285,55,55,55,55,55,55,55
PLAYER,GT,DL,Tyler Merriweather,Fr,72,285,55,55,55,55,55,55,55
PLAYER,GT,S,Tariq Carpenter,Fr,70,195,55,55,55,55,55,55,55
PLAYER,GT,QB,Lucas Johnson,Fr,74,215,55,55,55,55,55,55,55
PLAYER,GT,QB,Tobias Oliver,Fr,74,215,55,55,55,55,55,55,55
PLAYER,GT,LB,Brant Mitchell,Fr,71,235,55,55,55,55,55,55,55
PLAYER,GT,LB,Victor Alexander,Fr,71,235,55,55,55,55,55,55,55
PLAYER,GT,CB,Jaylon King,Fr,69,200,55,55,55,55,55,55,55
PLAYER,GT,LB,Jalen Johnson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,GT,LB,Quez Jackson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,GT,OL,Connor Hansen,Fr,73,295,55,55,55,55,55,55,55
PLAYER,GT,WR,Jaylen Jackson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,GT,RB,Kirvonte Benson,Fr,68,220,55,55,55,55,55,55,55
